"population_id","year","abundance","Trend","geometry"
1769,1993,"55","Decreasing",c(-2.81528, 56.19389)
1769,1994,"30","Decreasing",c(-2.81528, 56.19389)
1769,1995,"40","Decreasing",c(-2.81528, 56.19389)
1769,1996,"40","Decreasing",c(-2.81528, 56.19389)
1769,1997,"40","Decreasing",c(-2.81528, 56.19389)
1769,1998,"50","Decreasing",c(-2.81528, 56.19389)
1769,1999,"25","Decreasing",c(-2.81528, 56.19389)
1769,2000,"45","Decreasing",c(-2.81528, 56.19389)
1769,2001,"60","Decreasing",c(-2.81528, 56.19389)
1769,2002,"60","Decreasing",c(-2.81528, 56.19389)
1769,2003,"80","Decreasing",c(-2.81528, 56.19389)
1769,2004,"75","Decreasing",c(-2.81528, 56.19389)
1769,2005,"30","Decreasing",c(-2.81528, 56.19389)
1840,1991,"60000","Decreasing",c(10.5, 54)
1840,1992,"110000","Decreasing",c(10.5, 54)
1840,1993,"100000","Decreasing",c(10.5, 54)
1840,1994,"100000","Decreasing",c(10.5, 54)
1840,1995,"100000","Decreasing",c(10.5, 54)
1840,1996,"85000","Decreasing",c(10.5, 54)
1840,1997,"130000","Decreasing",c(10.5, 54)
1840,1998,"50000","Decreasing",c(10.5, 54)
1840,1999,"85000","Decreasing",c(10.5, 54)
1840,2000,"90000","Decreasing",c(10.5, 54)
1840,2001,"90000","Decreasing",c(10.5, 54)
1840,2002,"60000","Decreasing",c(10.5, 54)
1840,2003,"40000","Decreasing",c(10.5, 54)
1965,1956,"751","Decreasing",c(1.61694, 55.63306)
1965,1957,"854","Decreasing",c(1.61694, 55.63306)
1965,1958,"869","Decreasing",c(1.61694, 55.63306)
1965,1959,"898","Decreasing",c(1.61694, 55.63306)
1965,1960,"1020","Decreasing",c(1.61694, 55.63306)
1965,1961,"1141","Decreasing",c(1.61694, 55.63306)
1965,1962,"1118","Decreasing",c(1.61694, 55.63306)
1965,1963,"1259","Decreasing",c(1.61694, 55.63306)
1965,1964,"1439","Decreasing",c(1.61694, 55.63306)
1965,1965,"1404","Decreasing",c(1.61694, 55.63306)
1965,1966,"1728","Decreasing",c(1.61694, 55.63306)
1965,1967,"1779","Decreasing",c(1.61694, 55.63306)
1965,1968,"1800","Decreasing",c(1.61694, 55.63306)
1965,1969,"1919","Decreasing",c(1.61694, 55.63306)
1965,1970,"1987","Decreasing",c(1.61694, 55.63306)
1965,1971,"2041","Decreasing",c(1.61694, 55.63306)
1965,1972,"1617","Decreasing",c(1.61694, 55.63306)
1965,1973,"1678","Decreasing",c(1.61694, 55.63306)
1965,1974,"1668","Decreasing",c(1.61694, 55.63306)
1965,1975,"1617","Decreasing",c(1.61694, 55.63306)
1965,1976,"1426","Decreasing",c(1.61694, 55.63306)
1965,1977,"1243","Decreasing",c(1.61694, 55.63306)
1965,1978,"1162","Decreasing",c(1.61694, 55.63306)
1965,1979,"1320","Decreasing",c(1.61694, 55.63306)
1965,1980,"1118","Decreasing",c(1.61694, 55.63306)
1965,1981,"992","Decreasing",c(1.61694, 55.63306)
1965,1982,"991","Decreasing",c(1.61694, 55.63306)
1965,1983,"902","Decreasing",c(1.61694, 55.63306)
1965,1984,"778","Decreasing",c(1.61694, 55.63306)
1965,1985,"848","Decreasing",c(1.61694, 55.63306)
1965,1986,"908","Decreasing",c(1.61694, 55.63306)
